week,population,new cases
06/01/20,8728,0
06/24/20,8728,1
07/15/20,8728,1
07/30/20,8728,1
08/06/20,8728,1
09/08/20,8728,0
09/17/20,8728,1
09/22/20,8728,3
09/29/20,8728,1
10/06/20,8728,2
10/13/20,8728,0
10/20/20,8728,3
10/26/20,8728,22
11/03/20,8728,18
11/10/20,8728,17
11/17/20,8728,18
11/24/20,8728,16
12/01/20,8728,9
12/08/20,8728,9
12/22/20,8728,17
12/29/20,8728,10
01/05/21,8728,7
01/12/21,8728,7
01/19/21,8728,13
01/26/21,8728,20
02/02/21,8728,46
02/09/21,8728,21
02/16/21,8728,4
02/23/21,8728,7
03/02/21,8728,16
03/09/21,8728,30
03/16/21,8728,39
03/23/21,8728,13
03/30/21,8728,19
04/06/21,8728,33
04/13/21,8728,21
04/20/21,8728,17
04/27/21,8728,11
05/04/21,8728,4
05/11/21,8728,2
05/18/21,8728,2
05/25/21,8728,0
06/01/21,8728,0
06/08/21,8728,0
06/15/21,8728,0
06/22/21,8728,0
06/29/21,8728,0
07/06/21,8728,1
07/13/21,8728,1
07/20/21,8728,1
07/21/21,8728,0
08/03/21,8728,0
08/10/21,8728,1
08/17/21,8728,5
08/23/21,8728,9
08/30/21,8728,5
09/06/21,8728,8
09/13/21,9250,9
09/20/21,9250,8
09/27/21,9250,6
10/04/21,9250,7
10/11/21,9250,1
10/18/21,9250,0
10/25/21,9250,0
11/01/21,9250,3
11/08/21,9250,17
11/15/21,9250,17
11/22/21,9250,6
11/29/21,9250,18
12/06/21,9250,21
12/13/21,9250,27
12/20/21,9250,47
12/27/21,9250,79
01/03/22,9250,75
01/10/22,9250,61
01/17/22,8609,35
01/24/22,8609,33