occupation,count
Artists and related workers,256
Commercial and industrial designers,11
Fashion designers,34
Floral designers,50
Graphic designers,295
Interior designers,131
Merchandise displayers and window trimmers,24
Other designers,375
Actors,29
Producers and directors,181
Athletes and sports competitors,28
Coaches and scouts,210
"Umpires, referees, and other sports officials",25
Dancers and choreographers,7
Music directors and composers,50
Musicians and singers,118
"Disc jockeys, except radio",15
"Entertainers and performers, sports and related workers, all other",41
Broadcast announcers and radio disc jockeys,28
"News analysts, reporters, and journalists",77
Public relations specialists,145
Editors,99
Technical writers,65
Writers and authors,242
Interpreters and translators,91
Court reporters and simultaneous captioners,31
"Media and communication workers, all other",19
"Broadcast, sound, and lighting technicians",77
Photographers,186
"Television, video, and film camera operators and editors",100
"Media and communication equipment workers, all other",2